# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
 223000      8.46e-01    7.02e-01      2.48e-02    6.00e-03      8.14e-02    6.82e-02    1.0e-04
 224000      5.67e-01    7.98e-01      4.59e-02    7.36e-03      5.20e-02    7.76e-02    1.0e-04
 225000      6.49e-01    7.62e-01      1.15e-02    5.92e-04      6.29e-02    7.42e-02    1.0e-04
 226000      8.39e-01    5.87e-01      5.79e-03    1.19e-02      8.37e-02    5.82e-02    9.9e-05
 227000      7.03e-01    6.60e-01      9.27e-03    1.39e-02      7.00e-02    6.54e-02    9.9e-05
 228000      5.41e-01    4.92e-01      3.18e-03    6.61e-03      5.39e-02    4.90e-02    9.9e-05
 229000      7.28e-01    6.28e-01      8.05e-03    3.07e-03      7.25e-02    6.27e-02    9.9e-05
 230000      8.18e-01    6.69e-01      9.02e-02    2.69e-03      6.91e-02    6.67e-02    9.9e-05
 231000      5.77e-01    5.91e-01      6.04e-02    1.09e-02      5.31e-02    6.02e-02    9.4e-05
 232000      5.77e-01    6.38e-01      6.25e-03    3.78e-03      5.90e-02    6.53e-02    9.4e-05
 233000      6.75e-01    6.70e-01      1.82e-02    4.48e-03      6.85e-02    6.85e-02    9.4e-05
 234000      4.98e-01    5.22e-01      2.76e-02    6.19e-03      4.94e-02    5.33e-02    9.4e-05
 235000      4.92e-01    6.37e-01      2.42e-02    4.42e-03      4.85e-02    6.52e-02    9.4e-05
 236000      6.23e-01    5.07e-01      1.90e-03    9.06e-03      6.54e-02    5.30e-02    9.0e-05
 237000      5.62e-01    4.72e-01      2.10e-03    1.83e-02      5.90e-02    4.87e-02    9.0e-05
 238000      7.78e-01    5.24e-01      6.49e-02    1.95e-02      7.46e-02    5.40e-02    9.0e-05
 239000      7.03e-01    5.98e-01      3.83e-02    2.54e-02      7.09e-02    6.12e-02    9.0e-05
 240000      5.40e-01    3.95e-01      1.05e-02    3.62e-03      5.64e-02    4.15e-02    9.0e-05
 241000      7.79e-01    5.28e-01      6.03e-03    1.34e-02      8.39e-02    5.63e-02    8.5e-05
 242000      6.22e-01    5.20e-01      2.14e-02    3.26e-03      6.60e-02    5.59e-02    8.5e-05
 243000      5.83e-01    6.73e-01      1.82e-02    1.60e-02      6.21e-02    7.18e-02    8.5e-05
 244000      7.10e-01    5.74e-01      3.87e-03    9.96e-04      7.64e-02    6.18e-02    8.5e-05
 245000      6.67e-01    5.54e-01      2.21e-03    8.51e-03      7.18e-02    5.95e-02    8.5e-05
 246000      4.47e-01    5.60e-01      8.53e-03    3.10e-02      4.92e-02    5.93e-02    8.1e-05
 247000      5.54e-01    4.99e-01      8.31e-04    4.54e-03      6.12e-02    5.50e-02    8.1e-05
 248000      5.46e-01    5.55e-01      1.34e-04    4.07e-03      6.03e-02    6.13e-02    8.1e-05
 249000      5.86e-01    4.85e-01      5.40e-03    1.87e-03      6.46e-02    5.36e-02    8.1e-05
 250000      4.30e-01    5.16e-01      6.46e-03    4.12e-03      4.73e-02    5.70e-02    8.1e-05
 251000      6.86e-01    4.18e-01      7.97e-02    3.69e-02      6.38e-02    4.40e-02    7.7e-05
 252000      6.42e-01    6.29e-01      1.70e-02    3.73e-03      7.21e-02    7.12e-02    7.7e-05
 253000      6.32e-01    3.81e-01      2.04e-02    9.20e-03      7.06e-02    4.29e-02    7.7e-05
 254000      6.19e-01    6.07e-01      1.53e-02    2.08e-02      6.97e-02    6.78e-02    7.7e-05
 255000      6.38e-01    4.57e-01      7.49e-03    7.40e-03      7.22e-02    5.16e-02    7.7e-05
